cgid,cgname
1,NA
2,"Pseudoguaianolide, sesquiterpene"
3,"Pseudoguaianolide, sesquiterpenol"
4,acid
5,alcohol
6,aldehyde
7,alkaline hydrocarbon of paraffinn series
8,alkane
9,alkane hydrocarbon
10,"alkane, paraffin"
11,alkyl aldehyde
12,azulenic sesquiterpenol
13,bicyclic monoterpene
14,bicyclic sesquiterpene
15,carotenoid polyenes
16,cyclic monoterpene
17,diterpene
18,diterpene alcohol
19,ester
20,ether
21,fatty acid
22,monocyclic monoterpene
23,monocyclic sesquiterpene alcohol
24,monoterpene
25,monoterpene alcohol
26,monoterpene aldehyde
27,monoterpene derivative
28,monoterpene hydrate
29,monoterpene ketone
30,monoterpene oxide
31,nf
32,paraffin
33,related to monoterpene
34,saturated fatty acid
35,sesquiterpene
36,sesquiterpene alcohol
37,"sesquiterpene lactone, Pseudoguaianolide"
38,sesquiterpene oxide
39,"sesquiterpene, Pseudoguaianolide"
40,sesquiterpenoid
41,sesquiterpenol
42,sesquiterpinol
43,triterpene
