ipid,pid,locid,biblioid,scid,profilecode
1,45,402,1,32,JEAcakoprtu2002Roo
2,45,160,1,34,JEAcaceli2003lea
3,45,160,1,34,JEAcaceli2003Rhi
4,45,337,1,41,JEAcain2003Lea
5,45,337,1,41,JEAcain2003Rhi
6,45,639,1,99,JEAcaqu2008Ste
7,44,71,1,99,JEAchbair2002Fem
8,44,71,1,99,JEAchbair2002Mal
9,71,770,1,99,JEAsatu2014bul
10,352,134,1,37,JECamciin2002Aer
11,352,301,1,99,JECamhacu2003Aer
12,70,291,1,99,JEAfigudemeha2000Aer
13,435,311,1,99,JEClahochmici2003lea
14,1326,628,1,30,JEPleprofjasp2000Aer
15,1326,628,1,30,JEPleprofjasp2000Gal
16,939,769,1,99,JELtetucoar2002Fru
17,1325,867,1,99,JEPatnoaf2005fru
18,1325,867,1,99,JEPatnoaf2005lea
19,1325,867,1,99,JEPatnoaf2005Res
20,1325,721,1,99,JEPatso2008Fru
21,1325,721,1,99,JEPatso2008Gal
22,1325,721,1,99,JEPatso2008Lea
23,94,117,1,99,JEAhubr2010Lea
24,1531,486,1,101,JESmome2011fru
25,96,117,1,99,JEAtobr2013lea
26,1420,290,1,99,JERmugudemeha2000Fru
27,504,244,1,32,JEDtrewfokebe2000Lea
28,105,190,1,99,JEAchcu2000Fru
29,108,190,1,99,JEArecu2000Fru
30,1812,610,1,99,JEXarpidericu2000Lea
31,107,812,1,99,JEAmoviofhacu2002Fru
32,106,190,1,99,JEAglcu2002Fru
33,505,62,1,99,JEDgoau2002Lea
34,506,62,1,99,JEDwaau2002Lea
35,1811,11,1,99,JEXaeaf2003Fru
36,1813,677,1,42,JEXbrsapacisapastbr2003Lea
37,1770,148,1,99,JEUcaca2005bar
38,1770,148,1,99,JEUcaca2005roo
39,1770,148,1,99,JEUcaca2005woo
40,718,452,1,99,JEGmama2005bar
41,1814,714,1,99,JEXfrsoam2008Fru
42,229,117,1,61,JEBmuba2014lea
43,229,117,1,72,JEBmubr2014lea
44,930,615,1,65,JELmupo2011inf
45,930,615,1,65,JELmupo2011her
46,930,615,1,65,JELmupo2011roo
47,1404,341,1,67,JEPbair2014aer
48,693,114,1,42,JEFvudbobr2006fru
49,692,189,1,99,JEFvucr2006Fru
50,692,732,1,34,JEFvusp2000Lea
