ppid,ppname
1,Aerial Part
2,Aerial Parts
3,Bark
4,Branches
5,Flower
6,Flower and leaves
7,Flowers
8,Fruit
9,Fruits
10,Hairy Roots
11,Hairy Roots (complete darkness)
12,Hairy Roots (photoperiod)
13,Inflorescence
14,Leaf
15,Leaves
16,Leaves and thin branches
17,NA
18,Parent Roots
19,Peel
20,Rhizomes
21,Roots
22,Shoot culture
23,Stem
24,Stem plus leaf
25,Stems
26,Whole Plant
27,Wood chips
28,aerial
29,aerial part (flowering)
30,"aerial part, leaf, seed"
31,apical part of branches
32,apices from plantlet
33,arial parts
34,balsam
35,bark wood
36,belowground parts
37,berries
38,branch
39,branch and leaf
40,branchlets
41,bulb
42,calyx
43,capitula
44,cone
45,corolla
46,dried above ground part
47,dried aerial part
48,dry leaf
49,female flower
50,feminine cone
